sample_alias	file_stable_id	archive_ebi_fullpath
gonl-7a	EGAF00000513940	/fire/A/ega/vol1/EGAR00001189728/fastq/110104_I145_FC812PBABXX_L1_HUMrutRKXDIABPE_2.fq.gz.gpg
gonl-7b	EGAF00000513941	/fire/A/ega/vol1/EGAR00001189729/fastq/101231_I305_FC810N3ABXX_L2_HUMrutRKYDIAAPE_1.fq.gz.gpg
gonl-7b	EGAF00000513942	/fire/A/ega/vol1/EGAR00001189729/fastq/101231_I305_FC810N3ABXX_L2_HUMrutRKYDIAAPE_2.fq.gz.gpg
gonl-7b	EGAF00000513943	/fire/A/ega/vol1/EGAR00001189729/fastq/110325_I315_FCB02NYABXX_L2_HUMrutRKYDIAAPE_1.fq.gz.gpg
gonl-7b	EGAF00000513944	/fire/A/ega/vol1/EGAR00001189729/fastq/110325_I315_FCB02NYABXX_L2_HUMrutRKYDIAAPE_2.fq.gz.gpg
gonl-7b	EGAF00000513945	/fire/A/ega/vol1/EGAR00001189729/fastq/110101_I147_FC816Y8ABXX_L4_HUMrutRKYDIABPE_1.fq.gz.gpg
gonl-7b	EGAF00000513946	/fire/A/ega/vol1/EGAR00001189729/fastq/110101_I147_FC816Y8ABXX_L4_HUMrutRKYDIABPE_2.fq.gz.gpg
gonl-7c	EGAF00000513947	/fire/A/ega/vol1/EGAR00001189730/fastq/110106_I288_FC819G5ABXX_L4_HUMrutRKZDIAAPE_1.fq.gz.gpg
gonl-7c	EGAF00000513948	/fire/A/ega/vol1/EGAR00001189730/fastq/110106_I288_FC819G5ABXX_L4_HUMrutRKZDIAAPE_2.fq.gz.gpg
gonl-7c	EGAF00000513949	/fire/A/ega/vol1/EGAR00001189730/fastq/110121_I154_FC81DDLABXX_L1_HUMrutRKZDIAAPE_1.fq.gz.gpg
gonl-7c	EGAF00000513950	/fire/A/ega/vol1/EGAR00001189730/fastq/110121_I154_FC81DDLABXX_L1_HUMrutRKZDIAAPE_2.fq.gz.gpg
gonl-7c	EGAF00000513951	/fire/A/ega/vol1/EGAR00001189730/fastq/110104_I145_FC812PBABXX_L2_HUMrutRKZDIABPE_1.fq.gz.gpg
